label,lda_logr_classes,lda_logr_distances,lda_gini_classes,lda_gini_distances,lda_perm_classes,lda_perm_distances,lda_shap_classes,lda_shap_distances,lda_uppr_classes,lda_uppr_distances,lda_lowr_classes,lda_lowr_distances,lda_allf_classes,lda_allf_distances
iguana-grip-pencil,"['stomach-hold-duchess-passe', 'iguana-grip-bow-and-arrow', 'leg-hold-crucifix']","[0.24328210176058063, 0.6458006638206526, 0.6793306120857421]","['stomach-hold-duchess-passe', 'split-grip-cupid', 'shoulder-mount-lock']","[0.9721764138756122, 1.0364712687312378, 1.1782534737155341]","['handstand-forearm-pencil', 'thigh-hold-crescent-moon', 'shoulder-mount-princess-grip-straddle']","[0.03402040990086164, 0.35220291322146124, 0.3582483160554233]","['back-hold-allergra-split', 'strong-hold-side-split', 'elbow-grip-straddle']","[0.04336720851297371, 0.12398250045947812, 0.306576366465958]","['split-grip-backward-split', 'handstand-forearm-bow-and-arrow', 'knee-hold-daredevil']","[0.07844427140790167, 0.2168424362034882, 0.5404584527615315]","['handstand-forearm-passe', 'stomach-hold-duchess-passe', 'knee-hold-marley']","[0.1913550515076219, 1.433652732547042, 2.1020976209946793]","['split-grip-backward-split', 'stomach-hold-inverted-tuck', 'shoulder-mount-pencil']","[0.039978996367322495, 0.14581217368899058, 0.38761526900408416]"
iguana-grip-pixie,"['shoulder-mount-princess-grip-straddle', 'ankle-grip-bow-and-arrow', 'handstand-forearm-attitude']","[0.34107037343631674, 0.6752600773449835, 1.3089997000249198]","['shoulder-mount-princess-grip-straddle', 'thigh-hold-crescent-moon', 'thigh-hold-release']","[0.023475381808726326, 0.2747966211787052, 0.3920102647279258]","['fang-bracket-grip', 'forearm-grip-side-spin', 'reverse-grab-straddle']","[0.040219599055777766, 0.08421778969528004, 0.15023762017872583]","['ankle-grip-bow-and-arrow', 'thigh-hold-release', 'leg-hang-scorpion-hold']","[0.8623034137093128, 1.7084916669546892, 1.925724536136162]","['thigh-hold-dragonfly-crossed', 'handstand-forearm-passe', 'shoulder-mount-lock']","[0.6176265512954444, 0.8437230382302197, 3.329982580193148]","['iguana-grip-inverted-v', 'elbow-grip-butterfly', 'flag-grip-pencil']","[0.02732872399166908, 0.21700875233026196, 1.739078038909767]","['thigh-hold-crescent-moon', 'elbow-grip-butterfly', 'shoulder-mount-straddle']","[2.1998435549705846, 2.4408841049880152, 2.751841486470383]"
knee-hold-bridge,"['stomach-hold-inverted-pike', 'handstand-floor-handspring', 'split-grip-inverted-fang']","[1.508342406570378, 2.31292336335742, 5.713976164610131]","['handstand-floor-handspring', 'crossed-knee-release', 'stomach-hold-inverted-pike']","[0.16813030016996322, 4.286056163408475, 5.311285611810256]","['elbow-grip-seated', 'knee-hold-remi-sit-release', 'fireman-seat']","[0.05342684559429678, 0.1394832671550894, 0.2665397226419248]","['handstand-floor-handspring', 'outside-knee-hook-inverted', 'elbow-grip-inverted-ayesha']","[1.5474627832617358, 3.7695870358299572, 6.2254859806418]","['handstand-floor-handspring', 'split-grip-inverted-fang', 'outside-knee-hook-inverted']","[5.635993613200682, 6.709084580135176, 6.992972362060229]","['twisted-grip-inverted-straddle', 'crossed-knee-release', 'elbow-grip-fang']","[2.226889530452837, 7.778188405154893, 8.42645066905358]","['elbow-grip-fang', 'split-grip-inverted-fang', 'crossed-knee-release']","[0.6416587329089225, 6.498941302479508, 15.375156353959753]"
knee-hold-cupid,"['knee-hold-genie', 'leg-hold-inverted-crucifix-release', 'handstand-forearm-bow-and-arrow']","[0.09681592493842661, 0.31061223952587924, 0.5385435602318855]","['hook-knee-one-hand', 'shoulder-mount-attitude', 'strong-hold-inverted-split']","[0.03330081310276256, 0.12687625469694552, 0.5675717681478498]","['forearm-grip-inverted-pencil', 'chair-pike', 'one-hand-pencil']","[0.1324166959692894, 0.14094890529489135, 0.1486775889541363]","['cross-grip-straddle', 'shoulder-mount', 'stomach-hold-duchess-passe']","[0.0415554675726697, 0.055079267404672894, 0.080239289597473]","['split-grip-cupid', 'knee-hold-genie-release', 'leg-hold-crucifix']","[0.032690081259008075, 1.1276678980128692, 1.4881850657042026]","['leg-hold-crucifix', 'strong-hold-inverted-tuck', 'handstand-butterfly']","[0.07304698849591418, 0.4055586261851589, 0.40901729148066934]","['knee-hold-genie-release', 'elbow-grip-straddle', 'shoulder-mount-lock']","[0.39594966227166384, 0.6215776287763712, 0.7063929273619501]"
knee-hold-daredevil,"['elbow-grip-straddle', 'leg-hold-crucifix', 'stomach-hold-duchess-passe']","[0.11570356844994012, 0.44939813683697505, 0.8854466471621365]","['shoulder-mount', 'elbow-grip-straddle', 'split-grip-tucked-spin']","[0.28072655387248857, 0.4254443631651088, 0.45440132719359794]","['thigh-hold-dragonfly-crossed', 'split-grip-tucked-spin', 'knee-hold-one-knee-genie']","[0.27906544035731784, 0.29488444117980706, 0.31019354093346774]","['shoulder-mount-attitude', 'hook-knee-one-hand', 'iguana-grip-bow-and-arrow']","[0.786808361680323, 0.8214584065991823, 0.8765524403768203]","['split-grip-side-v', 'handstand-forearm-bow-and-arrow', 'armpit-hold-front-split']","[0.2645824268635275, 0.3236160165580433, 0.42650523369767956]","['split-grip-front-split', 'split-grip-pancake-split', 'superman-armpit-grip']","[0.2035106803786153, 0.8009222383824799, 0.9398656681449751]","['shoulder-mount-kick', 'knee-hold-marley-release', 'shoulder-mount-plank-passe-hold']","[0.49958061609123305, 1.098149026346963, 1.3263538581395249]"
knee-hold-genie,"['knee-hold-cupid', 'leg-hold-inverted-crucifix-release', 'handstand-forearm-bow-and-arrow']","[0.09681592493842661, 0.40742816446430585, 0.44172763529345893]","['cross-grip-straddle', 'split-grip-tucked-spin', 'shoulder-mount']","[0.1064579616375049, 0.40516489499121244, 0.5788396683123218]","['split-grip-stag', 'knee-hold-remi-sit', 'chair-seated']","[0.09946956941955776, 0.4923349165531157, 0.6252556900898494]","['strong-hold-side-split', 'armpit-hold-dart', 'iguana-grip-pencil']","[0.18835224474293133, 0.3000673366734339, 0.31233474520240945]","['hook-knee-one-hand', 'shoulder-mount', 'stomach-hold-duchess-passe']","[0.12049564664282286, 0.9439103119627772, 0.9620259176838912]","['split-grip-tucked-spin', 'knee-hold-genie-release', 'bridge']","[0.10129895777223386, 0.31250218494092974, 0.3457702725547016]","['knee-hold-marley', 'iguana-grip-pencil', 'split-grip-backward-split']","[0.8096913171079954, 1.0333232027670576, 1.07330219913438]"
knee-hold-genie-release,"['leg-hold-inverted-crucifix', 'leg-hang-scorpion', 'flag-grip-straddle']","[0.030596376214072407, 1.2929533687283898, 1.3329030282872631]","['armpit-hold-passe', 'handstand-forearm-passe', 'flag-grip-straddle']","[0.20822700316197462, 0.4344908676822623, 0.5471636125210928]","['handstand-tucked', 'iguana-grip-fang', 'chair-passe']","[0.08474019850643977, 0.12464071189631643, 0.17420038851705222]","['split-grip-cupid', 'shoulder-mount-plank', 'shoulder-mount-hangman']","[0.10467249257287392, 0.4925577409102555, 0.5190777750285624]","['leg-hold-crucifix', 'flag-grip-straddle', 'leg-hang-scorpion']","[0.36051716769133346, 0.4747915228311754, 0.569329881581428]","['bridge', 'split-grip-tucked-spin', 'knee-hold-genie']","[0.03326808761377187, 0.21120322716869588, 0.31250218494092974]","['stomach-hold-duchess-passe', 'knee-hold-cupid', 'armpit-hold-dart']","[0.39134637058364363, 0.39594966227166384, 0.5193928172493679]"
knee-hold-marley,"['split-grip-pancake-split', 'wrist-sit-straddle', 'shoulder-mount-kick']","[0.06761057873539045, 0.13961769111862488, 1.0629953725413817]","['shoulder-mount-kick', 'one-hand-pencil', 'wrist-sit-straddle']","[0.5219913732491026, 0.8807509210388726, 1.306269377919099]","['forearm-grip-stag', 'knee-hold-daredevil', 'strong-hold-inverted-tuck']","[0.15307075951415072, 0.5226798717000918, 0.606312430271652]","['wrist-sit-straddle', 'split-grip-pancake-split', 'superman-armpit-grip']","[0.34867319552076026, 0.36659558019550786, 0.47701175244265315]","['split-grip-front-split', 'strong-hold-inverted-split', 'one-hand-pencil']","[0.2912555794994578, 0.6482135908514497, 1.2910583753233045]","['forearm-grip-pencil', 'handstand-forearm-passe', 'iguana-grip-pencil']","[1.202962693860453, 1.9107425694870575, 2.1020976209946793]","['cross-grip-straddle', 'knee-hold-genie', 'iguana-grip-bow-and-arrow']","[0.6741515928133515, 0.8096913171079954, 1.5176380929636093]"
knee-hold-marley-release,"['pole-walk', 'chair-passe', 'shoulder-mount-plank-passe-hold']","[0.3740003546248367, 1.9976150415235239, 2.1027231859902713]","['pole-walk', 'reverse-grab-pencil', 'shoulder-mount-plank-passe-hold']","[0.10927538558109262, 3.6128678754443335, 3.6985215860367653]","['stomach-hold-duchess-passe', 'armpit-hold-passe', 'handstand-bridged']","[0.0527273023398382, 0.0767847822112363, 0.0807935727239971]","['stomach-hold-passe-spaceflight', 'pole-walk', 'hook-knee-two-hands']","[1.0697189980793347, 1.4164784828945294, 1.8845650375048528]","['hook-knee-two-hands', 'leg-hang-scorpion-flatliner', 'stomach-hold-passe-spaceflight']","[0.8839781842817445, 2.2924971197206965, 3.110208940029043]","['strong-hold-inverted-split', 'stomach-hold-passe-spaceflight', 'handstand-forearm-bow-and-arrow']","[0.8241848220335015, 0.9952307243037737, 1.0856206135827406]","['forearm-grip-pencil', 'knee-hold-daredevil', 'strong-hold-inverted-split']","[0.4359610989989928, 1.098149026346963, 1.3782189459993077]"
knee-hold-one-knee-genie,"['fireman-seat', 'strong-hold-fang', 'knee-hook-back']","[0.0051710659691863725, 0.0702586665446816, 0.7166739454091342]","['strong-hold-fang', 'one-hand-twisted-spin-rght', 'chair-seated']","[0.018323228565620298, 0.027746279004887242, 0.9027362329626456]","['split-grip-tucked-spin', 'thigh-hold-dragonfly-crossed', 'stomach-hold-inverted-tuck']","[0.015309099753660682, 0.031128100576149897, 0.13254431913904163]","['knee-hook-back', 'fang-bracket-grip', 'armpit-hold-seated']","[0.03407133488207137, 0.542365333846881, 0.5474632958061036]","['fang-bracket-grip', 'strong-hold-fang', 'one-hand-twisted-spin-rght']","[1.4560010718411078, 1.85510748888953, 1.9038223930222813]","['chair-pike', 'split-grip-side-spin', 'fireman-knee-hold']","[0.027448033298078656, 1.865256220597061, 3.147205633257478]","['baseball-back-support-grip-foward-pike', 'fireman-knee-hold', 'chair-pike']","[0.4259007693451977, 1.4648123319707693, 2.3246176798372247]"
knee-hold-remi-sit,"['reverse-grab-attitude', 'baseball-back-support-grip-tuck', 'strong-hold-straddle']","[0.7308558029270387, 2.8131017247723022, 3.0152465678327474]","['strong-hold-straddle', 'forearm-grip-side-spin', 'reverse-grab-attitude']","[3.375398902877997, 3.9451376396781015, 4.784503448180722]","['knee-hold-remi-sit-release', 'elbow-grip-seated', 'knee-hold-bridge']","[0.16157230147386414, 0.24762872303465677, 0.30105556862895355]","['strong-hold-straddle', 'reverse-grab-attitude', 'chair-pike']","[0.5742846825311787, 2.6558230182728764, 7.625533724435691]","['one-hand-twisted-spin-rght', 'baseball-back-support-grip-tuck', 'chair-pike']","[0.3532509718639716, 0.9132753108568821, 2.197267839373467]","['one-hand-twisted-lateral-spin', 'leg-hang-scorpion-flatliner', 'armpit-hold-seated']","[0.1949094255568653, 1.0487776180809227, 2.700173872617473]","['reverse-grab-pencil', 'superman-scissors', 'leg-hang-scorpion-flatliner']","[0.3478638528017157, 0.7092655852843421, 2.3875598955519663]"
knee-hold-remi-sit-release,"['chair-seated', 'one-hand-twisted-spin-rght', 'armpit-hold-seated']","[0.19498943928104495, 0.5590840492260369, 0.5637858706151704]","['armpit-hold-forward-pike', 'chair-seated', 'fireman-seat']","[0.07102431581648005, 0.46302981372184604, 1.2422742808726994]","['elbow-grip-seated', 'knee-hold-bridge', 'knee-hold-remi-sit']","[0.08605642156079263, 0.1394832671550894, 0.16157230147386414]","['armpit-hold-seated', 'fireman-seat', 'knee-hold-one-knee-genie']","[0.04495273551986401, 0.1800360720334595, 0.5924160313259677]","['fireman-seat', 'split-grip-stag', 'reverse-grab-fang']","[0.5802995826050932, 0.6421925719428501, 0.7787497780383319]","['stomach-hold-vertical-duchess', 'pole-walk', 'fireman-hollywood']","[0.3886623100044986, 0.49387611135257714, 2.841066735781702]","['stomach-hold-vertical-duchess', 'stomach-hold-passe-spaceflight', 'split-grip-apprentice']","[0.47170680809705345, 1.5336069567698765, 1.551478097654769]"
knee-hook-back,"['knee-hold-one-knee-genie', 'fireman-seat', 'strong-hold-fang']","[0.7166739454091342, 0.7218450113783206, 0.7869326119538158]","['armpit-hold-seated', 'fireman-seat', 'baseball-back-support-grip-foward-pike']","[0.6788610460199962, 1.0216775386848056, 1.202983845530703]","['split-grip-side-spin', 'knee-hook-front', 'handstand-butterfly']","[0.044443674919417475, 0.1181703573199453, 0.2386227542970536]","['knee-hold-one-knee-genie', 'fang-bracket-grip', 'armpit-hold-seated']","[0.03407133488207137, 0.5082939989648096, 0.581534630688175]","['strong-hold-fang', 'fang-bracket-grip', 'split-grip-stag']","[0.09949152120181992, 0.4985979382502421, 0.7751854648620267]","['strong-hold-straddle', 'one-hand-twisted-spin-rght', 'reverse-grab-attitude']","[0.080195364478989, 0.4808687767339421, 2.621935118358671]","['strong-hold-fang', 'strong-hold-straddle', 'fang-bracket-grip']","[0.25357797464761234, 0.9164543926072355, 3.8406890133348526]"
knee-hook-front,"['fireman-half-pike', 'reverse-grab-straddle', 'reverse-grab-ballerina']","[0.34441011505613517, 0.5657656955039485, 1.02847912512469]","['split-grip-pencil', 'fireman-half-pike', 'reverse-grab-ballerina']","[0.05778800375536264, 0.1177409237577649, 0.8244561212353787]","['knee-hook-back', 'handstand-butterfly', 'leg-hang-scorpion-hold']","[0.1181703573199453, 0.1204523969771083, 0.1402096972136091]","['reverse-grab-straddle', 'reverse-grab-ballerina', 'strong-hold-corkscrew']","[0.724687110656113, 0.8263746882593814, 1.6328786742833543]","['split-grip-straddle', 'strong-hold-corkscrew', 'reverse-grab-ballerina']","[1.2214388088111363, 1.7009864604841525, 1.834856297153415]","['strong-hold-corkscrew', 'fireman-knee-hold', 'split-grip-stag']","[0.8468332124558273, 1.5410870413462376, 1.854454944060187]","['split-grip-side-spin', 'armpit-hold-forward-pike', 'strong-hold-corkscrew']","[0.1955705610589078, 0.8361149059726785, 1.0440106265079052]"
leg-hang-gemini,"['shoulder-mount-straddle', 'strong-hold-inverted-straddle', 'outside-knee-hook-jasmine']","[1.0954703421075251, 1.7088231593072436, 1.7123314936041467]","['outside-knee-hook-jasmine', 'iguana-grip-inverted-v', 'strong-hold-inverted-tuck']","[0.2408607775927578, 0.7437936044433826, 1.035054246510036]","['reverse-grab-ballerina', 'shoulder-mount-attitude', 'armpit-hold-seated']","[0.09926631854927948, 0.13590306757198167, 0.15427834826669073]","['iguana-grip-inverted-v', 'strong-hold-inverted-tuck', 'stomach-hold-inverted-tuck']","[0.7571201450946461, 1.1826610948504772, 1.5432381656955876]","['stomach-hold-inverted-tuck', 'strong-hold-inverted-straddle', 'iguana-grip-fang']","[0.9017549943822303, 0.9879014919142719, 1.45940139110008]","['shoulder-mount-princess-grip-straddle', 'leg-hang-gemini-foot-hold', 'split-grip-inverted-d']","[0.31167686465814626, 0.6654820723378663, 0.7619259579664899]","['thigh-hold-dragonfly-crossed', 'leg-hang-gemini-foot-hold', 'thigh-hold-dragon-fly']","[1.0274397307683714, 1.6099769170653673, 2.425091761038942]"
leg-hang-gemini-foot-hold,"['split-grip-inverted-d', 'flag-grip-pencil', 'forearm-grip-inverted-pencil']","[0.11365488360726062, 0.4866092024159592, 1.0774703844118498]","['flag-grip-pencil', 'split-grip-inverted-d', 'thigh-hold-dragonfly-crossed']","[0.2423181894570412, 0.36689301510646644, 0.6208528077159059]","['armpit-hold-seated', 'reverse-grab-ballerina', 'leg-hold-inverted-crucifix']","[0.029680703861727054, 0.08469273357913831, 0.17730596059737191]","['stomach-hold-inverted-tuck', 'iguana-grip-inverted-v', 'split-grip-inverted-butterfly-extended']","[0.96467468956914, 1.7507927101700815, 1.8838166770739235]","['thigh-hold-crescent-moon', 'stomach-hold-inverted-tuck', 'forearm-grip-inverted-pencil']","[0.3093478335391566, 0.8870267703713743, 0.9193247876590078]","['split-grip-inverted-d', 'leg-hang-gemini', 'shoulder-mount-princess-grip-straddle']","[0.0964438856286236, 0.6654820723378663, 0.9771589369960125]","['thigh-hold-dragon-fly', 'leg-hang-gemini', 'thigh-hold-dragonfly-crossed']","[0.8151148439735749, 1.6099769170653673, 2.6374166478337386]"
leg-hang-needle,"['split-grip-inverted-butterfly', 'crossed-knee-stargazer', 'iguana-grip-fang']","[1.0440757719423672, 1.383401355005546, 1.9413649052970428]","['thigh-hold-dragon-fly', 'strong-hold-inverted-straddle', 'split-grip-inverted-butterfly']","[1.1778704125316537, 1.5173983383954877, 2.7552199360722227]","['strong-hold-corkscrew', 'leg-hang-scorpion-hold', 'handstand-butterfly']","[0.031611655620317425, 0.18114270283742062, 0.20090000307392142]","['crossed-knee-stargazer', 'iguana-grip-fang', 'thigh-hold-dragon-fly']","[0.6476636665504145, 0.9175164728205019, 2.3439689351967914]","['crossed-knee-layback', 'shoulder-mount-straddle', 'crossed-knee-release']","[0.08663037720675248, 0.40336534958047565, 0.5018202361116479]","['tuck-hold', 'handstand-tucked', 'split-grip-inverted-butterfly']","[0.5686908856273689, 0.6326781826446819, 1.0365340295328096]","['crossed-knee-stargazer', 'handstand-floor-handspring', 'crossed-knee-layback']","[0.7002711388755358, 4.509095298917998, 4.964239991744648]"
leg-hang-scorpion,"['flag-grip-straddle', 'split-grip-tucked-passe', 'leg-hold-inverted-crucifix']","[0.03994965955887331, 0.37731646959537635, 1.2623569925143174]","['shoulder-mount-hangman', 'strong-hold-side-split', 'shoulder-mount-tuck']","[0.25494501895504307, 0.396001912023662, 0.7021810205698387]","['handstand-onehand', 'elbow-grip-butterfly', 'strong-hold-inverted-split']","[0.012845577826984256, 0.12412663966109139, 0.17202818691693889]","['split-grip-tucked-passe', 'shoulder-mount-pencil', 'leg-hold-crucifix']","[0.014017891797768911, 0.03202253124845633, 1.1069431569085237]","['flag-grip-straddle', 'leg-hold-crucifix', 'bridge']","[0.09453835875025263, 0.2088127138900946, 0.5175408885234738]","['split-grip-side-v', 'split-grip-backward-split', 'shoulder-mount-plank-passe-hold']","[0.3160716409928921, 0.517087197539551, 0.8045983632350295]","['strong-hold-inverted-tuck', 'leg-hold-inverted-crucifix', 'flag-grip-straddle']","[0.4980208842252001, 1.3746828619474298, 2.000612386724046]"
leg-hang-scorpion-flatliner,"['shoulder-mount-split', 'split-grip-pencil', 'reverse-grab-ballerina']","[0.45857818971609277, 0.6943982646023628, 0.7962347335997784]","['reverse-grab-straddle', 'strong-hold-corkscrew', 'split-grip-side-spin']","[0.19826936389680583, 0.9277824937781745, 1.863160836007296]","['split-grip-front-split', 'split-grip-straddle', 'twisted-grip-inverted-straddle']","[0.11984052068669904, 0.17945607158772336, 0.3341258618907217]","['fireman-hollywood', 'reverse-grab-pencil', 'superman-scissors']","[0.5176450033945486, 0.7823521983743831, 1.3327242088910225]","['knee-hold-marley-release', 'one-hand-twisted-lateral-spin', 'hook-knee-two-hands']","[2.2924971197206965, 3.0717649782044916, 3.176475304002441]","['one-hand-twisted-lateral-spin', 'knee-hold-remi-sit', 'armpit-hold-seated']","[0.8538681925240574, 1.0487776180809227, 1.6513962545365501]","['baseball-back-support-grip-tuck', 'reverse-grab-pencil', 'knee-hold-remi-sit']","[1.017319237459894, 2.0396960427502506, 2.3875598955519663]"
leg-hang-scorpion-hold,"['split-grip-inverted-pencil', 'handstand-pole', 'elbow-grip-pencil']","[1.0779299418708348, 1.24081724772671, 1.471607521320177]","['stomach-hold-inverted-tuck', 'handstand-forearm-attitude', 'split-grip-inverted-pencil']","[0.19790601015008136, 0.21647684644130294, 0.4347958163495136]","['handstand-butterfly', 'knee-hook-front', 'strong-hold-corkscrew']","[0.019757300236500797, 0.1402096972136091, 0.1495310472171032]","['handstand-forearm-attitude', 'ankle-grip-bow-and-arrow', 'iguana-grip-pixie']","[0.28934484013768014, 1.063421122426849, 1.925724536136162]","['elbow-grip-pencil', 'handstand-pole', 'armpit-hold-passe']","[0.21033161795670097, 0.29616658328412626, 0.6396196633203175]","['thigh-hold-crescent-moon', 'shoulder-mount-attitude', 'handstand-forearm-attitude']","[2.2630227090261474, 2.927970158652501, 3.0526052670627077]","['handstand-butterfly', 'elbow-grip-pencil', 'handstand-pole']","[0.38105787697735494, 0.70487914391353, 0.7858159024690075]"
leg-hold-crucifix,"['stomach-hold-duchess-passe', 'knee-hold-daredevil', 'elbow-grip-straddle']","[0.43604851032516145, 0.44939813683697505, 0.5651017052869152]","['stomach-hold-duchess-passe', 'shoulder-mount-plank', 'elbow-grip-straddle']","[0.2440700220423644, 0.3178501591878464, 0.5964510511501029]","['split-grip-apprentice', 'back-hold-allergra', 'elbow-grip-pencil']","[0.0931786864753319, 0.16937864691186744, 0.26958825466740755]","['flag-grip-straddle', 'shoulder-mount-pencil', 'leg-hang-scorpion']","[0.030530884020021798, 1.0749206256600674, 1.1069431569085237]","['flag-grip-straddle', 'leg-hang-scorpion', 'knee-hold-genie-release']","[0.11427435513984197, 0.2088127138900946, 0.36051716769133346]","['knee-hold-cupid', 'strong-hold-inverted-tuck', 'handstand-butterfly']","[0.07304698849591418, 0.33251163768924474, 0.33597030298475516]","['handstand-forearm-passe', 'shoulder-mount', 'strong-hold-side-split']","[0.2662812536300816, 0.5554573028463494, 1.0954029907437337]"
leg-hold-inverted-crucifix,"['knee-hold-genie-release', 'leg-hang-scorpion', 'flag-grip-straddle']","[0.030596376214072407, 1.2623569925143174, 1.3023066520731907]","['bridge', 'split-grip-tucked-passe', 'handstand-forearm-passe']","[0.2918110995587515, 1.2444378717456885, 1.6041629459657134]","['split-grip-cupid', 'leg-hang-gemini-foot-hold', 'armpit-hold-seated']","[0.08751229954680362, 0.17730596059737191, 0.20698666445909897]","['handstand-forearm-passe', 'shoulder-mount-lock', 'bridge']","[0.014954144769147248, 0.3019763940472071, 1.4261346922821714]","['split-grip-tucked-passe', 'armpit-hold-dart', 'elbow-grip-straddle']","[0.0677290521311189, 0.19659692539695195, 0.43587078754751296]","['hook-knee-one-hand', 'handstand-pole', 'handstand-forearm-attitude']","[0.1813742428472782, 0.8523946571831171, 1.1314882643190547]","['strong-hold-inverted-tuck', 'bridge', 'leg-hang-scorpion']","[0.8766619777222298, 1.188972639111256, 1.3746828619474298]"
leg-hold-inverted-crucifix-release,"['knee-hold-cupid', 'knee-hold-genie', 'shoulder-mount-pencil']","[0.31061223952587924, 0.40742816446430585, 0.4354151570137439]","['split-grip-backward-split', 'armpit-hold-front-split', 'strong-hold-inverted-split']","[0.654234873420811, 0.8684353043670185, 0.9201971079962963]","['armpit-hold-front-split', 'shoulder-mount-plank', 'split-grip-pencil']","[0.03140761621026922, 0.04175161593661958, 0.1577849361118666]","['shoulder-mount-kick', 'split-grip-backward-split', 'stomach-hold-vertical-duchess']","[0.4743302027903118, 0.655257724332758, 0.8460326588369709]","['split-grip-apprentice', 'forearm-grip-pencil', 'iguana-grip-bow-and-arrow']","[0.3577494099874219, 0.8674856887903175, 0.9322636310046661]","['hook-knee-two-hands', 'wrist-sit-straddle', 'superman-armpit-grip']","[0.0044208817282545, 0.24571555127979394, 0.2937126974162858]","['handstand-forearm-pencil', 'armpit-hold-front-split', 'armpit-hold-scorpion']","[0.6221779288275275, 1.1038313078735014, 1.266395238492672]"
one-hand-pencil,"['shoulder-mount-kick', 'knee-hold-marley', 'split-grip-pancake-split']","[0.3374468734630973, 1.400442246004479, 1.4680528247398694]","['shoulder-mount-kick', 'wrist-sit-straddle', 'knee-hold-marley']","[0.35875954778977004, 0.4255184568802264, 0.8807509210388726]","['chair-pike', 'split-grip-backward-split', 'forearm-grip-inverted-pencil']","[0.00772868365924495, 0.012644212209139916, 0.016260892984846897]","['shoulder-mount-plank-passe-hold', 'superman-armpit-grip', 'wrist-sit-straddle']","[0.021453743744663356, 0.6663807938443274, 0.7947193507662202]","['shoulder-mount-plank-passe-hold', 'back-hold-allergra', 'split-grip-pancake-split']","[0.09673353333130663, 0.635205792020594, 1.1757085362741702]","['back-hold-allergra', 'handstand-forearm-pencil', 'chair-passe']","[0.4320475883666539, 0.548347484731778, 0.7500267841731123]","['split-grip-pancake-split', 'shoulder-mount-plank-passe-hold', 'shoulder-mount-kick']","[0.16787990614095527, 0.28886559506779896, 1.1156388371160908]"
one-hand-twisted-lateral-spin,"['hook-knee-two-hands', 'elbow-grip-seated', 'stomach-hold-passe-spaceflight']","[1.1797014449374785, 2.02008979545937, 2.29536342690864]","['stomach-hold-passe-spaceflight', 'reverse-grab-pencil', 'hook-knee-two-hands']","[0.7359812930154419, 1.1864844744527545, 2.916684641427093]","['armpit-hold-dart', 'shoulder-mount-plank-passe-hold', 'iguana-grip-bow-and-arrow']","[0.20287006974143607, 0.2892370027351663, 0.4315671801423866]","['shoulder-mount-split', 'superman-scissors', 'hook-knee-two-hands']","[0.4159549585056226, 2.0925389005007453, 2.277889001742853]","['elbow-grip-seated', 'superman-scissors', 'fireman-hollywood']","[0.8375826643745086, 1.7332086661908015, 2.34913512209733]","['knee-hold-remi-sit', 'leg-hang-scorpion-flatliner', 'armpit-hold-seated']","[0.1949094255568653, 0.8538681925240574, 2.5052644470606076]","['armpit-hold-seated', 'fireman-half-pike', 'elbow-grip-seated']","[0.9213481141626509, 1.6386220554870157, 1.739007525362446]"
one-hand-twisted-spin-rght,"['armpit-hold-seated', 'knee-hold-remi-sit-release', 'chair-seated']","[0.004701821389133443, 0.5590840492260369, 0.7540734885070819]","['strong-hold-fang', 'knee-hold-one-knee-genie', 'fang-bracket-grip']","[0.009423050439266945, 0.027746279004887242, 0.8847470557172628]","['outside-knee-hook-jasmine', 'split-grip-side-spin', 'knee-hook-back']","[0.15057273001188842, 0.25523678014334683, 0.2996804550627643]","['fang-bracket-grip', 'knee-hook-back', 'knee-hold-one-knee-genie']","[0.9565401986182138, 1.4648341975830235, 1.4989055324650948]","['knee-hold-remi-sit', 'baseball-back-support-grip-tuck', 'knee-hold-one-knee-genie']","[0.3532509718639716, 1.2665262827208537, 1.9038223930222813]","['strong-hold-straddle', 'knee-hook-back', 'reverse-grab-attitude']","[0.4006734122549531, 0.4808687767339421, 2.141066341624729]","['reverse-grab-attitude', 'reverse-grab-fang', 'fang-bracket-grip']","[0.41945384509826056, 0.5201897479757349, 2.6428097857173185]"
outside-knee-hook-inverted,"['elbow-grip-inverted-ayesha', 'crossed-knee-release', 'handstand-bridged']","[0.8261325792755301, 1.078022558992977, 2.303053560122571]","['crossed-knee-release', 'elbow-grip-inverted-ayesha', 'tuck-hold']","[1.2665177005212342, 1.9278602255276311, 5.166177608796595]","['tuck-hold', 'split-grip-inverted-fang', 'crossed-knee-stargazer']","[0.03760139857643985, 0.0962860914037611, 0.23526804096798903]","['handstand-floor-handspring', 'elbow-grip-inverted-ayesha', 'knee-hold-bridge']","[2.2221242525682214, 2.4558989448118425, 3.7695870358299572]","['handstand-bridged', 'elbow-grip-inverted-ayesha', 'handstand-floor-handspring']","[1.201684956709883, 1.249352117058848, 1.3569787488595466]","['stomach-hold-inverted-pike', 'crossed-knee-release', 'handstand-forearm-fang']","[0.8531012324776555, 4.51628376850752, 6.144022122345497]","['handstand-bridged', 'stomach-hold-inverted-pike', 'iguana-grip-fang']","[1.0532703335168492, 3.4273872948737107, 5.007854310248163]"
